FAMILIA,CODIGO,NOMBRE CIENTIFICO,NOMBRE COMUN,STATUS,T-1,T-2,T-3,T-4,T-5,T-6,T-7,T-8,T-9,TOTAL
CATHARTIDAE,CORAT,Coragyps atratus,Gallinazo cabeza negra,R,,,,,,,,,,0
CATHARTIDAE,CATAU,Cathartes aura,Gallinazo cabeza roja,Ml,,,,,,,,,,0
PANDIONIDAE,PANHA,Pandion haliaetus,Águila pescadora,Mb,20,36,96,9,24,1,,66,156,408
ACCIPITRIDAE,CIRCI,Circus cinereus,Gavilán cenizo,Ml,,,,,,,,,,0
ACCIPITRIDAE,BUTME,Buteogallus meridionalis,Gavilán de campo,Ma,,,,,,,,,,0
ACCIPITRIDAE,PARUN,Parabuteo unicinctus,Gavilán oscuro acanalado,R,,,,,,,,,,0
ACCIPITRIDAE,GERPO,Geranoaetus polyosoma,Aguilucho comun,Ml,,,,,,,,,,0
ACCIPITRIDAE,GERME,Geranoaetus melanoleucus,Aguilucho grande,Ma,,3,,,,,1,1,2,7
ACCIPITRIDAE,BUTPL,Buteo platypterus,Aguilucho de ala ancha,Mb,,,,,,,,,,0
TYTONIDAE,TYTAL,Tyto alba,Lechuza de los campanarios,R,,,,,,,,,,0
STRIGIDAE,ATHCU,Athene cunicularia,Lechuza de los arenales,R,,,,,,,,,,0
STRIGIDAE,ASIFL,Asio flammeus,Lechuza de Oreja Corta,Acc,,,,,,,,,,0
ALCEDINIDAE,CHLAM,Chloroceryle americana,Martín pescador,Ml,,,,,,4,,,,4
FALCONIDAE,CARPL,Caracara plancus,Carancho,Acc,,,,,,,,,,0
FALCONIDAE,MILCH,Milvago chimachima,Cara cara cabeza amarilla,Acc,,,,,,,,,,0
FALCONIDAE,FALSP,Falco sparverius,Cernícalo,R,,,,,,,,,,0
FALCONIDAE,FALFE,Falco femoralis,"Halcón aplomado, Halcón perdiguero",Ma,,,,,,,,,,0
FALCONIDAE,FALPE,Falco peregrinus,Halcón Peregrino,Mb,,,,,,2,,,,2
PSITTACIDAE,BROVE,Brotogeris versicolorus,"Pihuicho, Perico ala blanca",Ml,,,,,,,,,,0
PSITTACIDAE,FORCO,Forpus coelestis,Perico esmeralda,Ml,2,,,,,,,,,2
PSITTACIDAE,PSIWA,Psittacara wagleri,Cotorra de wagler,Ml,,,,,,,,7,,7
PSITTACIDAE,PSIER,Psittacara erythrogenys,Cotorra cabeza roja,Ml,,,,,,,,,,0
FURNARIIDAE,GEOPE,Geositta peruviana,Pampero peruano,Ml,,,,,,,,,,0
FURNARIIDAE,PHLME,Phleocryptes melanops,Totorero,R,,,,,,,,,,0
TYRANNIDAE,CAMOB,Camptostoma obsoletum,Mosqueta silbadora,R,,,,,,,,,,0
TYRANNIDAE,TACRU,Tachuris rubrigastra,Siete colores de la totora,R,,3,,3,1,,,3,2,12
TYRANNIDAE,MYIFA,Myiophobus fasciatus,Mosqueta modesta,Ml,,,,,,,,,,0
TYRANNIDAE,PYRRU,Pyrocephalus rubinus,"Turtupillín, putilla",R,4,2,,1,2,,,3,1,13
TYRANNIDAE,LESOR,Lessonia oreas,Negrito,R,,,,,,,,,,0
TYRANNIDAE,MUSMA,Muscisaxicola maclovianus,Dormilona cabeza oscura,Ml,,,,,,,2,1,8,11
TYRANNIDAE,MUSBR,Muscigralla brevicauda,Dormilona cola corta,R,,,,,,,,,,0
TYRANNIDAE,TYRME,Tyrannus melancholicus,Tirano tropical o pepite,R,,,,,,,,,,0
TYRANNIDAE,TYRSA,Tyrannus savana,Atrapamoscas cola de tijera,Acc,,,,,,,,,,0
TYRANNIDAE,TYRTY,Tyrannus tyrannus,Atrapamoscas migratorio,Mb,,,,,,,,,,0
CORVIDAE,CYAMY,Cyanocorax mystacalis,Urraca,Acc,,,,,,,,,,0
HIRUNDINIDAE,PYGCY,Pygochelidon cyanoleuca,Santa Rosita,R,,,,,,,,,,0
HIRUNDINIDAE,PROTA,Progne tapera,Martin pechipardo,Acc,,,,,,,,,,0
HIRUNDINIDAE,PROSU,Progne subis,Golondrina purpúrea,Mb,18,20,26,10,,,,34,2,110
HIRUNDINIDAE,PROEL,Progne elegans,"Golondrina negra, Golondrina del Sur",Acc,,,,,,,,,,0
HIRUNDINIDAE,RIPRI,Riparia riparia,Golondrina ribereña,Ma,,,,,,,,,,0
HIRUNDINIDAE,HIRRU,Hirundo rustica,Golondrina migratoria,Mb,,,,,,,,,,0
HIRUNDINIDAE,PETRU,Petrochelidon rufocollaris,Golondrina de cuello castaño,Ml,,,,,,,,,,0
TROGLODYTIDAE,TROAE,Troglodytes aedon,Cucarachero,R,,,,,,,,,,0
TURDIDAE,TURCH,Turdus chiguanco,"Chiguanco, zorzal",Ml,,,,,,,,,,0
MIMIDAE,MIMLO,Mimus longicaudatus,Chisco,R,4,5,1,4,,,,,14,28
MOTACILLIDAE,ANTPE,Anthus peruvianus,"Chichirre, cachirla amarilla",R,,,,,,,,,,0
THRAUPIDAE,CONCI,Conirostrum cinereum,Mielerito gris,R,,,,,3,,,,7,10
THRAUPIDAE,SICFL,Sicalis flaveola,"Botón de oro, Chirigüe azafranado",Ml,,,,,,,1,,,1
THRAUPIDAE,SICLU,Sicalis luteola,Triguero común,R,,,,,,,,,,0
THRAUPIDAE,SICRA,Sicalis raimondii,"Trile bajoandino, Chirigüe de Raimondi",Ml,,,,,,,,,,0
THRAUPIDAE,VOLJA,Volatinia jacarina,Saltapalito,R,,6,,,1,,,,1,8
THRAUPIDAE,SPOPE,Sporophila peruviana,Espiguero pico de loro,Ml,,,,,,,,,,0
THRAUPIDAE,SPOTE,Sporophila telasco,Espiguero corbatón,Ml,5,1,,,1,,,,3,10
THRAUPIDAE,SPOSI,Sporophila simplex,Espiguero simple,Ml,,,,,2,,,,,2
THRAUPIDAE,SALST,Saltator striatipectus,Saltador listado,Ml,,,,,,,,,,0
THRAUPIDAE,COEFL,Coereba flaveola,Mielerito,Ml,,,,,,,,,,0
THRAUPIDAE,THREP,Thraupis episcopus,"Violinista celeste, Luisa",Ml,,,,,,,,,,0
THRAUPIDAE,THRPA,Thraupis palmarum,"Violinista verde, Violinista de Palmer",Acc,,,,,,,,,2,2
EMBERIZIDAE,ZONCA,Zonotrichia capensis,"Gorrión americano, Pichisanka, Chingolo",R,,,,,,,,,,0
ICTERIDAE,DIVWA,Dives warszewiczi,"Tordo grande, tordo negro",Ml,,,,,3,,,,,3
ICTERIDAE,MOLBO,Molothrus bonariensis,Tordo parásito,R,,,,,,,,,,0
ICTERIDAE,CHRIC,Chrysomus icterocephalus,Tordo amazónico cabeza amarilla,R,4,1,,,,,,,10,15
ICTERIDAE,STURBE,Sturnella bellicosa,"Huanchaco, Pecho colorado",R,,,,8,,,,,,8
FRINGILLIDAE,SPIMA,Spinus magellanicus,Jilguero cabeza negra,R,,,,,1,,,1,,2
PASSERIDAE,PASDO,Passer domesticus,Gorrion europeo,R,,,1,,,,,2,2,5
